instant_x,dteday,season_x,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,instant_y,season_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1,Springer,2011,1,0,Holiday,Saturday,Holiday,1,9.84,14.395,81.0,0.0,3,13,16
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2,Springer,2011,1,1,Holiday,Saturday,Holiday,1,9.02,13.635,80.0,0.0,8,32,40
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,3,Springer,2011,1,2,Holiday,Saturday,Holiday,1,9.02,13.635,80.0,0.0,5,27,32
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,4,Springer,2011,1,3,Holiday,Saturday,Holiday,1,9.84,14.395,75.0,0.0,3,10,13
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,5,Springer,2011,1,4,Holiday,Saturday,Holiday,1,9.84,14.395,75.0,0.0,0,1,1
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,6,Springer,2011,1,5,Holiday,Saturday,Holiday,2,9.84,12.879999999999999,75.0,6.0032,0,1,1
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,7,Springer,2011,1,6,Holiday,Saturday,Holiday,1,9.02,13.635,80.0,0.0,2,0,2
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,8,Springer,2011,1,7,Holiday,Saturday,Holiday,1,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,9,Springer,2011,1,8,Holiday,Saturday,Holiday,1,9.84,14.395,75.0,0.0,1,7,8
1,2011-01-01,Springer,2011,1,Not Holiday,Saturday,Holiday,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,10,Springer,2011,1,9,Holiday,Saturday,Holiday,1,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14
